pID	day	time 	subtask
P72	2	27.94	11
P72	3	18.48	11
P72	4	25.46	11
P75	1	35.88	11
P75	2	53.37	11
P75	3	18.52	11
P75	4	16.41	11
P12	1	186.17	11
P12	2	21.46	11
P12	3	11.53	11
P12	4	23.21	11
P14	1	197.64	11
P14	2	43.54	11
P14	3	47.01	11
P14	4	22.34	11
P19	1	124.17	11
P19	2	69.85	11
P19	3	37.37	11
P19	4	24.26	11
P20	1	153.68	11
P20	2	63.65	11
P20	3	211.66	11
P20	4	35.46	11
P23	1	38.66	11
P23	2	105.83	11
P23	3	41.88	11
P23	4	14.10	11
P46	1	45.66	11
P46	2	21.23	11
P46	3	16.84	11
P46	4	13.65	11
P51	1	177.39	11
P51	2	46.03	11
P51	3	17.18	11
P51	4	17.71	11
P59	1	33.99	11
P59	2	34.87	11
P59	3	12.75	11
P59	4	31.58	11
P68	1	85.27	11
P68	2	23.36	11
P68	3	21.36	11
P68	4	17.54	11
P73	1	82.23	11
P73	2	54.91	11
P73	3	51.77	11
P73	4	12.06	11
P9	1	17.90	12
P9	2	16.11	12
P9	3	7.49	12
P9	4	6.19	12
P15	1	36.27	12
P15	2	11.96	12
P15	3	5.82	12
P15	4	4.97	12
P16	1	24.68	12
P16	2	17.99	12
P16	3	8.78	12
P16	4	9.76	12
P26	1	54.38	12
P26	2	9.68	12
P26	3	8.50	12
P26	4	8.98	12
P31	1	22.14	12
P31	2	35.73	12
P31	3	18.59	12
P31	4	9.49	12
P42	1	24.68	12
P42	2	9.38	12
P42	3	8.70	12
P42	4	26.65	12
P44	1	20.82	12
P44	2	18.23	12
P44	3	8.54	12
P44	4	7.03	12
P49	1	27.43	12
P49	2	7.64	12
P49	3	5.61	12
P49	4	13.60	12
P57	1	17.82	12
P57	2	4.90	12
P57	3	4.43	12
P57	4	3.91	12
P63	1	17.10	12
P63	2	9.67	12
P63	3	10.77	12
P63	4	5.60	12
P11	1	25.30	12
P11	2	16.00	12
P11	3	29.50	12
P11	4	4.82	12
P27	1	13.98	12
P27	2	5.02	12
P27	3	9.97	12
P27	4	8.76	12
P32	1	30.47	12
P32	2	8.09	12
P32	3	11.78	12
P32	4	11.94	12
P34	1	23.63	12
P34	2	15.46	12
P34	3	14.34	12
P34	4	7.45	12
P40	1	32.62	12
P40	2	18.02	12
P40	3	13.36	12
P40	4	6.74	12
P48	1	26.17	12
P48	2	31.07	12
P48	3	6.34	12
P48	4	5.05	12
P54	1	35.71	12
P54	2	50.64	12
P54	3	10.29	12
P54	4	8.07	12
P66	1	20.03	12
P66	2	15.10	12
P66	3	9.60	12
P66	4	7.86	12
P72	1	131.41	12
P72	2	14.28	12
P72	3	6.65	12
P72	4	8.11	12
P75	1	32.98	12
P75	2	17.05	12
P75	3	6.09	12
P75	4	7.81	12
P12	1	70.70	12
P12	2	11.38	12
P12	3	7.00	12
P12	4	9.84	12
P14	1	56.18	12
P14	2	24.30	12
P14	3	12.66	12
P14	4	7.86	12
P19	1	16.86	12
P19	2	19.54	12
P19	3	5.70	12
P19	4	7.54	12
P20	1	23.82	12
P20	2	14.06	12
P20	3	22.33	12
P20	4	15.21	12
P23	1	21.49	12
P23	2	13.58	12
P23	3	7.19	12
P23	4	4.61	12
P46	1	26.25	12
P46	2	21.68	12
P46	3	13.09	12
P46	4	8.62	12
P51	1	15.78	12
P51	2	8.55	12
P51	3	6.78	12
P51	4	7.88	12
P59	1	21.43	12
P59	2	20.15	12
P59	3	12.98	12
P59	4	21.25	12
P68	1	69.92	12
P68	2	9.66	12
P68	3	5.23	12
P68	4	4.16	12
P73	1	26.51	12
P73	2	27.60	12
P73	3	5.42	12
P73	4	5.98	12
P9	1	17.86	13
P9	2	11.06	13
P9	3	10.60	13
P9	4	11.10	13
P15	1	NA	13
P15	2	14.35	13
P15	3	8.79	13
P15	4	8.14	13
P16	1	25.45	13
P16	2	21.06	13
P16	3	9.59	13
P16	4	11.86	13
P26	1	85.41	13
P26	2	23.90	13
P26	3	12.21	13
P26	4	13.26	13
P31	1	39.21	13
P31	2	42.06	13
P31	3	20.12	13
P31	4	11.73	13
P42	1	25.45	13
P42	2	35.68	13
P42	3	28.91	13
P42	4	46.84	13
P44	1	26.75	13
P44	2	11.16	13
P44	3	13.6	13
P44	4	4.97	13
P49	1	31.93	13
P49	2	27.83	13
P49	3	21.71	13
P49	4	10.91	13
P57	1	26.43	13
P57	2	9.19	13
P57	3	10.28	13
P57	4	6.73	13
P63	1	49.67	13
P63	2	11.29	13
P63	3	20.45	13
P63	4	8.34	13
P11	1	24.25	13
P11	2	12.13	13
P11	3	12.24	13
P11	4	20.22	13
P27	1	54.55	13
P27	2	15.68	13
P27	3	14.69	13
P27	4	13.91	13
P32	1	12.56	13
P32	2	50.62	13
P32	3	7.06	13
P32	4	9.73	13
P34	1	19.61	13
P34	2	22.40	13
P34	3	17.34	13
P34	4	11.17	13
P40	1	28.15	13
P40	2	12.92	13
P40	3	16.74	13
P40	4	16.83	13
P48	1	44.14	13
P48	2	31.65	13
P48	3	16.10	13
P48	4	8.78	13
P54	1	32.88	13
P54	2	16.19	13
P54	3	16.78	13
P54	4	12.29	13
P66	1	27.53	13
P66	2	22.03	13
P66	3	19.03	13
P66	4	10.47	13
P72	1	21.07	13
P72	2	20.99	13
P72	3	14.64	13
P72	4	10.95	13
P75	1	28.10	13
P75	2	10.84	13
P75	3	11.26	13
P75	4	8.76	13
P12	1	15.39	13
P12	2	16.26	13
P12	3	13.42	13
P12	4	10.89	13
P14	1	40.27	13
P14	2	23.10	13
P14	3	14.54	13
P14	4	11.55	13
P19	1	32.30	13
P19	2	25.80	13
P19	3	18.11	13
P19	4	14.66	13
P20	1	25.03	13
P20	2	18.43	13
P20	3	52.31	13
P20	4	25.08	13
P23	1	13.34	13
P23	2	14.12	13
P23	3	12.34	13
P23	4	6.46	13
P46	1	10.93	13
P46	2	17.81	13
P46	3	16.78	13
P46	4	8.27	13
P51	1	17.48	13
P51	2	17.11	13
P51	3	7.58	13
P51	4	8.86	13
P59	1	26.63	13
P59	2	20.03	13
P59	3	10.69	13
P59	4	25.25	13
P68	1	27.12	13
P68	2	17.38	13
P68	3	8.71	13
P68	4	8.05	13
P73	1	33.66	13
P73	2	15.28	13
P73	3	12.42	13
P73	4	8.18	13
P9	1	42.96	14
P9	2	31.13	14
P9	3	17.82	14
P9	4	19.14	14
P15	1	38.70	14
P15	2	36.82	14
P15	3	14.03	14
P15	4	25.04	14
P16	1	39.68	14
P16	2	39.23	14
P16	3	30.46	14
P16	4	30.64	14
P26	1	62.45	14
P26	2	30.09	14
P26	3	31.19	14
P26	4	24.18	14
P31	1	53.49	14
P31	2	50.76	14
P31	3	37.04	14
P31	4	30.74	14
P42	1	39.68	14
P42	2	45.86	14
P42	3	27.75	14
P42	4	63.01	14
P44	1	43.81	14
P44	2	45.33	14
P44	3	19.78	14
P44	4	10.97	14
P49	1	53.71	14
P49	2	24.02	14
P49	3	32.71	14
P49	4	20.63	14
P57	1	40.18	14
P57	2	25.83	14
P57	3	19.89	14
P57	4	18.23	14
P63	1	64.80	14
P63	2	23.77	14
P63	3	20.83	14
P63	4	19.30	14
P11	1	33.37	14
P11	2	41.41	14
P11	3	34.90	14
P11	4	14.61	14
P27	1	55.97	14
P27	2	30.03	14
P27	3	42.81	14
P27	4	48.18	14
P32	1	67.88	14
P32	2	47.35	14
P32	3	32.69	14
P32	4	31.88	14
P34	1	65.64	14
P34	2	22.32	14
P34	3	32.81	14
P34	4	20.26	14
P40	1	61.44	14
P40	2	72.25	14
P40	3	48.87	14
P40	4	20.05	14
P48	1	74.89	14
P48	2	47.90	14
P48	3	37.82	14
P48	4	23.07	14
P54	1	45.44	14
P54	2	54.17	14
P54	3	32.23	14
P54	4	17.43	14
P66	1	46.83	14
P66	2	35.99	14
P66	3	40.43	14
P66	4	34.47	14
P72	1	52.55	14
P72	2	21.76	14
P72	3	21.20	14
P72	4	19.99	14
P75	1	41.21	14
P75	2	33.19	14
P75	3	20.39	14
P75	4	24.55	14
P12	1	13.74	14
P12	2	45.13	14
P12	3	NA	14
P12	4	16.81	14
P14	1	83.10	14
P14	2	70.82	14
P14	3	19.77	14
P14	4	18.43	14
P19	1	69.31	14
P19	2	50.72	14
P19	3	47.46	14
P19	4	46.24	14
P20	1	NA	14
P20	2	NA	14
P20	3	NA	14
P20	4	NA	14
P23	1	39.23	14
P23	2	28.53	14
P23	3	15.73	14
P23	4	19.92	14
P46	1	39.45	14
P46	2	25.13	14
P46	3	15.98	14
P46	4	20.88	14
P51	1	28.86	14
P51	2	43.55	14
P51	3	21.17	14
P51	4	16.81	14
P59	1	44.63	14
P59	2	30.08	14
P59	3	22.50	14
P59	4	44.83	14
P68	1	39.40	14
P68	2	34.29	14
P68	3	20.15	14
P68	4	14.58	14
P73	1	72.14	14
P73	2	60.64	14
P73	3	20.84	14
P73	4	34.11	14
