pID	day	time 	subtask
P12	3	152.17	3
P12	4	78.61	3
P14	1	315.98	3
P14	2	153.37	3
P14	3	110.68	3
P14	4	97.55	3
P19	1	363.28	3
P19	2	169.71	3
P19	3	195.56	3
P19	4	119.20	3
P20	1	296.87	3
P20	2	148.22	3
P20	3	165.81	3
P20	4	133.51	3
P23	1	217.58	3
P23	2	176.77	3
P23	3	176.77	3
P23	4	70.01	3
P46	1	131.06	3
P46	2	121.51	3
P46	3	88.70	3
P46	4	60.92	3
P51	1	90.07	3
P51	2	139.87	3
P51	3	55.67	3
P51	4	55.36	3
P59	1	201.19	3
P59	2	115.49	3
P59	3	101.35	3
P59	4	109.26	3
P68	1	364.90	3
P68	2	181.07	3
P68	3	121.89	3
P68	4	62.95	3
P73	1	211.10	3
P73	2	236.66	3
P73	3	131.20	3
P73	4	71.79	3
P9	1	55.51	4
P9	2	19.38	4
P9	3	11.63	4
P9	4	27.23	4
P15	1	147.75	4
P15	2	22.85	4
P15	3	14.87	4
P15	4	9.18	4
P16	1	89.38	4
P16	2	45.79	4
P16	3	15.41	4
P16	4	15.94	4
P26	1	81.44	4
P26	2	62.82	4
P26	3	23.31	4
P26	4	22.74	4
P31	1	172.29	4
P31	2	76.50	4
P31	3	65.83	4
P31	4	40.16	4
P42	1	89.38	4
P42	2	36.30	4
P42	3	30.82	4
P42	4	15.17	4
P44	1	69.64	4
P44	2	15.71	4
P44	3	9.78	4
P44	4	7.30	4
P49	1	68.95	4
P49	2	15.05	4
P49	3	18.25	4
P49	4	10.34	4
P57	1	67.43	4
P57	2	15.94	4
P57	3	24.70	4
P57	4	9.54	4
P63	1	46.32	4
P63	2	19.81	4
P63	3	16.35	4
P63	4	14.53	4
P11	1	175.59	4
P11	2	75.32	4
P11	3	25.80	4
P11	4	17.70	4
P27	1	79.13	4
P27	2	88.07	4
P27	3	14.02	4
P27	4	14.45	4
P32	1	52.60	4
P32	2	35.82	4
P32	3	30.82	4
P32	4	28.15	4
P34	1	64.29	4
P34	2	67.53	4
P34	3	11.14	4
P34	4	24.28	4
P40	1	73.79	4
P40	2	18.26	4
P40	3	18.89	4
P40	4	13.15	4
P48	1	279.24	4
P48	2	24.65	4
P48	3	13.57	4
P48	4	10.34	4
P54	1	259.14	4
P54	2	61.52	4
P54	3	17.68	4
P54	4	43.40	4
P66	1	62.40	4
P66	2	22.43	4
P66	3	18.67	4
P66	4	10.54	4
P72	1	71.88	4
P72	2	25.03	4
P72	3	15.22	4
P72	4	12.92	4
P75	1	93.12	4
P75	2	62.58	4
P75	3	22.08	4
P75	4	16.21	4
P12	1	83.50	4
P12	2	31.73	4
P12	3	11.98	4
P12	4	12.98	4
P14	1	108.50	4
P14	2	44.72	4
P14	3	21.26	4
P14	4	17.12	4
P19	1	122.28	4
P19	2	30.63	4
P19	3	22.14	4
P19	4	16.44	4
P20	1	NA	4
P20	2	95.16	4
P20	3	30.54	4
P20	4	21.04	4
P23	1	34.65	4
P23	2	26.57	4
P23	3	26.57	4
P23	4	16.62	4
P46	1	58.10	4
P46	2	21.41	4
P46	3	10.98	4
P46	4	11.46	4
P51	1	106.36	4
P51	2	23.31	4
P51	3	8.87	4
P51	4	14.66	4
P59	1	43.75	4
P59	2	15.66	4
P59	3	11.94	4
P59	4	23.84	4
P68	1	55.79	4
P68	2	37.27	4
P68	3	11.06	4
P68	4	8.76	4
P73	1	66.72	4
P73	2	22.15	4
P73	3	45.51	4
P73	4	16.68	4
P9	1	358.44	5
P9	2	99.20	5
P9	3	97.84	5
P9	4	91.90	5
P15	1	212.69	5
P15	2	159.81	5
P15	3	113.65	5
P15	4	210.28	5
P16	1	281.11	5
P16	2	173.15	5
P16	3	117.42	5
P16	4	127.89	5
P26	1	390.87	5
P26	2	152.59	5
P26	3	166.72	5
P26	4	110.40	5
P31	1	326.06	5
P31	2	249.45	5
P31	3	184.31	5
P31	4	152.60	5
P42	1	282.11	5
P42	2	215.52	5
P42	3	262.54	5
P42	4	146.65	5
P44	1	151.27	5
P44	2	132.06	5
P44	3	95.83	5
P44	4	83.11	5
P49	1	168.53	5
P49	2	119.37	5
P49	3	107.93	5
P49	4	119.36	5
P57	1	129.53	5
P57	2	119.93	5
P57	3	63.00	5
P57	4	57.58	5
P63	1	164.23	5
P63	2	119.84	5
P63	3	95.37	5
P63	4	88.24	5
P11	1	256.28	5
P11	2	129.63	5
P11	3	110.52	5
P11	4	93.24	5
P27	1	606.67	5
P27	2	176.15	5
P27	3	127.03	5
P27	4	115.31	5
P32	1	262.80	5
P32	2	182.59	5
P32	3	107.43	5
P32	4	86.25	5
P34	1	165.66	5
P34	2	115.81	5
P34	3	111.95	5
P34	4	114.67	5
P40	1	172.61	5
P40	2	210.53	5
P40	3	189.03	5
P40	4	126.35	5
P48	1	155.43	5
P48	2	159.47	5
P48	3	87.13	5
P48	4	59.86	5
P54	1	438.76	5
P54	2	115.43	5
P54	3	87.84	5
P54	4	91.57	5
P66	1	117.74	5
P66	2	110.21	5
P66	3	89.78	5
P66	4	90.24	5
P72	1	165.12	5
P72	2	126.54	5
P72	3	178.86	5
P72	4	74.12	5
P75	1	159.30	5
P75	2	163.38	5
P75	3	117.83	5
P75	4	108.88	5
P12	1	244.25	5
P12	2	150.90	5
P12	3	118.98	5
P12	4	95.71	5
P14	1	210.99	5
P14	2	190.65	5
P14	3	125.82	5
P14	4	103.97	5
P19	1	784.82	5
P19	2	213.04	5
P19	3	145.01	5
P19	4	125.28	5
P20	1	291.74	5
P20	2	231.95	5
P20	3	120.70	5
P20	4	104.56	5
P23	1	214.94	5
P23	2	186.89	5
P23	3	189.55	5
P23	4	61.57	5
P46	1	171.63	5
P46	2	149.17	5
P46	3	90.91	5
P46	4	61.99	5
P51	1	125.55	5
P51	2	71.95	5
P51	3	83.03	5
P51	4	54.28	5
P59	1	168.37	5
P59	2	102.30	5
P59	3	75.29	5
P59	4	135.33	5
P68	1	205.76	5
P68	2	115.36	5
P68	3	73.90	5
P68	4	61.00	5
P73	1	319.92	5
P73	2	107.54	5
P73	3	65.12	5
P73	4	93.76	5
P9	1	70.30	6
P9	2	18.02	6
P9	3	15.57	6
P9	4	13.22	6
P15	1	34.73	6
P15	2	12.01	6
P15	3	11.59	6
P15	4	12.01	6
P16	1	29.15	6
P16	2	32.08	6
P16	3	16.37	6
P16	4	20.12	6
P26	1	45.19	6
P26	2	20.31	6
P26	3	19.66	6
P26	4	53.01	6
P31	1	65.35	6
P31	2	21.95	6
P31	3	18.09	6
P31	4	49.30	6
P42	1	29.15	6
P42	2	29.19	6
P42	3	35.31	6
P42	4	15.99	6
P44	1	33.84	6
P44	2	10.62	6
P44	3	30.70	6
P44	4	7.98	6
P49	1	54.85	6
P49	2	18.26	6
P49	3	16.34	6
P49	4	10.63	6
P57	1	24.76	6
P57	2	15.67	6
P57	3	12.90	6
P57	4	10.97	6
P63	1	32.10	6
P63	2	13.89	6
P63	3	11.04	6
P63	4	17.15	6
P11	1	236.66	6
P11	2	29.99	6
P11	3	16.07	6
P11	4	15.29	6
P27	1	18.55	6
P27	2	17.85	6
P27	3	12.08	6
P27	4	16.55	6
P32	1	53.67	6
P32	2	14.83	6
P32	3	16.91	6
P32	4	19.08	6
P34	1	34.85	6
P34	2	18.61	6
P34	3	15.26	6
P34	4	26.02	6
P40	1	43.84	6
P40	2	16.99	6
P40	3	11.74	6
P40	4	14.78	6
P48	1	22.24	6
P48	2	23.19	6
P48	3	11.53	6
P48	4	9.03	6
P54	1	85.04	6
P54	2	37.22	6
P54	3	39.75	6
P54	4	11.98	6
P66	1	39.01	6
P66	2	21.63	6
P66	3	20.72	6
P66	4	10.62	6
P72	1	49.22	6
P72	2	19.43	6
P72	3	12.27	6
P72	4	9.94	6
P75	1	69.79	6
P75	2	33.53	6
P75	3	20.03	6
P75	4	16.74	6
P12	1	23.27	6
P12	2	16.09	6
P12	3	73.25	6
P12	4	14.50	6
P14	1	25.80	6
P14	2	24.37	6
P14	3	16.18	6
P14	4	16.74	6
P19	1	35.17	6
P19	2	22.33	6
P19	3	20.92	6
P19	4	47.60	6
P20	1	NA	6
P20	2	27.91	6
P20	3	23.19	6
P20	4	19.66	6
P23	1	33.59	6
P23	2	15.17	6
P23	3	15.17	6
P23	4	10.45	6
P46	1	20.80	6
P46	2	13.49	6
P46	3	11.39	6
P46	4	23.75	6
P51	1	49.50	6
P51	2	10.53	6
P51	3	17.39	6
P51	4	9.72	6
P59	1	31.24	6
P59	2	22.58	6
P59	3	14.13	6
P59	4	15.72	6
P68	1	29.57	6
P68	2	11.44	6
P68	3	11.30	6
P68	4	9.72	6
P73	1	37.25	6
P73	2	20.74	6
P73	3	17.45	6
P73	4	10.06	6
P9	1	281.08	7
P9	2	112.38	7
P9	3	96.59	7
P9	4	86.23	7
P15	1	204.30	7
P15	2	104.01	7
P15	3	123.60	7
P15	4	130.02	7
P16	1	171.34	7
P16	2	145.22	7
P16	3	86.14	7
P16	4	74.57	7
P26	1	189.44	7
P26	2	127.63	7
P26	3	125.86	7
P26	4	174.00	7
P31	1	228.97	7
P31	2	158.61	7
P31	3	124.27	7
P31	4	104.58	7
P42	1	171.34	7
P42	2	134.53	7
P42	3	296.60	7
P42	4	117.10	7
P44	1	194.31	7
P44	2	82.75	7
P44	3	78.78	7
P44	4	54.58	7
P49	1	169.62	7
P49	2	104.22	7
P49	3	102.01	7
P49	4	92.20	7
P57	1	99.69	7
P57	2	67.13	7
P57	3	65.46	7
P57	4	67.52	7
P63	1	197.31	7
P63	2	97.54	7
P63	3	79.64	7
P63	4	75.87	7
P11	1	259.17	7
P11	2	121.87	7
P11	3	112.10	7
P11	4	82.57	7
P27	1	240.02	7
P27	2	110.93	7
